NULL,NULL,5562-129,5419-129,81,75
NULL,NULL,264296-130,45502-0,241,235
NULL,NULL,5422-129,256317-0,118,112
NULL,NULL,47353-0,5422-130,26,20
NULL,NULL,6462-129,264273-130,12,7
NULL,NULL,5561-130,256705-1,822,817
NULL,NULL,264270-129,256632-2,37,32
NULL,NULL,256632-0,47353-1,50,45
NULL,NULL,5562-130,5422-128,39,34
NULL,NULL,47220-2,264472-129,5,0
NULL,NULL,264472-128,47244-2,170,165
NULL,NULL,5422-129,5419-129,362,357
NULL,NULL,47220-0,6462-129,51,46
NULL,NULL,5422-129,264558-128,409,404
NULL,NULL,45353-0,5429-129,1547,1542
NULL,NULL,45353-1,277279-128,424,419
NULL,NULL,277403-129,264278-128,150,145
NULL,NULL,277403-130,256322-1,78,73
NULL,NULL,6435-128,264507-129,83,78
NULL,NULL,45436-2,47268-1,88,83
NULL,NULL,264472-129,6439-130,7377,7372
NULL,NULL,264661-128,277425-129,29,24
NULL,NULL,264296-129,47220-1,344,339
NULL,NULL,47265-2,6435-129,212,207
NULL,NULL,5422-129,5421-128,1152,1147
NULL,NULL,264296-130,45502-2,217,212
NULL,NULL,47220-0,264472-130,187,182
NULL,NULL,5561-128,277279-130,748,743
NULL,NULL,264598-129,5419-128,169,164
NULL,NULL,277403-128,256312-0,169,164
NULL,NULL,264296-129,269516-129,15,10
NULL,NULL,47244-1,6443-129,88,84
NULL,NULL,47265-0,6462-130,88,84
NULL,NULL,47353-0,5459-128,8,4
NULL,NULL,5422-129,264270-129,889,885
NULL,NULL,45353-0,264309-128,44,40
NULL,NULL,45439-1,5562-129,32,28
NULL,NULL,6435-129,264661-130,388,384
NULL,NULL,45463-2,5426-128,122,118
NULL,NULL,47220-1,6462-129,48,44
NULL,NULL,264296-129,45463-0,593,589
NULL,NULL,45353-2,277254-130,28,24
NULL,NULL,264472-129,6462-129,4,0
NULL,NULL,277403-130,264278-128,46,42
NULL,NULL,264598-130,5419-130,742,738
NULL,NULL,5562-129,5422-130,379,375
NULL,NULL,264273-130,47244-2,110,106
NULL,NULL,264599-129,264661-129,326,322
NULL,NULL,45439-1,256632-2,37,33
NULL,NULL,6435-128,264599-129,7,3
NULL,NULL,47265-0,264312-129,49,45
NULL,NULL,277403-128,256497-2,6,2
NULL,NULL,47353-1,5422-130,8,4
NULL,NULL,277347-128,5429-129,394,390
NULL,NULL,6435-128,264661-129,8,4
NULL,NULL,6462-130,256704-1,307,303
NULL,NULL,5421-128,264558-130,3814,3810
NULL,NULL,45454-0,277403-130,558,554
NULL,NULL,264296-130,45436-1,40,36
NULL,NULL,45353-1,6431-128,6,2
NULL,NULL,47265-1,6435-129,17,13
NULL,NULL,5422-128,5562-128,340,336
NULL,NULL,47353-2,277421-130,53,49
NULL,NULL,45436-2,5397-129,61,57
NULL,NULL,277403-128,277347-130,720,716
NULL,NULL,5422-129,264599-130,105,101
NULL,NULL,47220-2,6439-130,17,14
NULL,NULL,45463-2,5426-129,299,296
NULL,NULL,264270-130,45439-1,463,460
NULL,NULL,277403-130,45454-0,557,554
NULL,NULL,5561-129,277279-129,163,160
NULL,NULL,264472-129,6439-129,6,3
NULL,NULL,277347-130,45353-2,154,151
NULL,NULL,5397-128,277279-130,6,3
NULL,NULL,47244-0,264273-128,69,66
NULL,NULL,256704-1,6462-130,319,316
NULL,NULL,256632-2,264302-128,5,2
NULL,NULL,264598-128,6435-129,173,170
NULL,NULL,5422-129,264558-130,611,608
NULL,NULL,6462-128,264472-130,64,61
NULL,NULL,256632-1,5421-130,138,135
NULL,NULL,6435-128,264294-128,27,24
NULL,NULL,264296-128,269516-128,43,40
NULL,NULL,5562-129,45439-1,13,10
NULL,NULL,256632-2,264270-130,26,23
NULL,NULL,264273-128,264472-129,56,53
NULL,NULL,256704-1,6462-128,14,11
NULL,NULL,277403-130,5417-129,15,12
NULL,NULL,45436-1,45463-2,152,149
NULL,NULL,264296-129,5426-129,69,66
NULL,NULL,277347-130,5429-129,17,14
NULL,NULL,256704-1,47267-1,59,56
NULL,NULL,264273-130,6443-130,10,7
NULL,NULL,264270-130,256632-1,85,82
NULL,NULL,264599-130,45393-1,157,154
NULL,NULL,5419-128,45473-1,24,21
NULL,NULL,264472-130,6439-130,40,37
NULL,NULL,47353-0,5562-129,75,72
NULL,NULL,45439-2,264270-130,4,1
NULL,NULL,264296-130,47220-2,136,133
NULL,NULL,5561-130,277279-129,190,187
NULL,NULL,264661-129,264599-129,288,285
NULL,NULL,264270-130,5422-129,1404,1401
NULL,NULL,45353-1,277347-129,3,0
NULL,NULL,264599-130,47353-0,10,7
NULL,NULL,264472-129,264273-128,60,57
NULL,NULL,5422-129,5421-129,10,7
NULL,NULL,47244-1,264472-130,29,26
NULL,NULL,256704-2,47267-2,23,20
NULL,NULL,6435-129,264465-129,13,10
NULL,NULL,5422-129,256632-0,315,312
NULL,NULL,47244-2,264274-130,6,3
NULL,NULL,256704-1,6443-130,19,16
NULL,NULL,5561-129,5397-130,1346,1343
NULL,NULL,5397-128,5423-129,88,85
NULL,NULL,264273-128,6439-130,67,64
NULL,NULL,45353-1,5429-129,6,3
NULL,NULL,47265-1,256316-2,21,18
NULL,NULL,45463-2,269517-128,152,149
NULL,NULL,5562-129,264270-129,69,66
NULL,NULL,5421-130,264270-130,35,32
NULL,NULL,264273-128,264472-128,69,66
NULL,NULL,6439-130,264472-128,213,210
NULL,NULL,264270-130,256632-0,318,315
NULL,NULL,264296-130,6462-129,94,91
NULL,NULL,6462-130,45502-1,7,4
NULL,NULL,47220-2,264296-130,50,47
NULL,NULL,5419-130,264507-129,35,33
NULL,NULL,45436-0,264296-129,11,9
NULL,NULL,5422-130,5562-130,14,12
NULL,NULL,47244-0,264472-128,43,41
NULL,NULL,264296-128,6462-128,182,180
NULL,NULL,5562-129,5422-129,584,582
NULL,NULL,6435-129,47265-2,236,234
NULL,NULL,264661-129,256317-0,16,14
NULL,NULL,264472-128,264271-130,289,287
NULL,NULL,264661-128,264598-129,28,26
NULL,NULL,264599-129,6435-129,55,53
NULL,NULL,5397-128,5561-129,516,514
NULL,NULL,256632-2,5459-129,2,0
NULL,NULL,264273-129,264472-128,13,11
NULL,NULL,5422-130,256632-0,114,112
NULL,NULL,264273-128,47267-1,59,57
NULL,NULL,45353-1,277279-130,83,81
NULL,NULL,264661-129,256496-1,23,21
NULL,NULL,47244-2,264273-130,83,81
NULL,NULL,277403-128,45353-2,27,25
NULL,NULL,277403-128,256322-1,7,5
NULL,NULL,5422-128,5562-129,1286,1284
NULL,NULL,264599-130,5562-128,151,149
NULL,NULL,264270-130,256317-1,117,115
NULL,NULL,264472-128,47220-2,63,61
NULL,NULL,264661-129,45477-2,68,66
NULL,NULL,6435-128,264598-129,4,2
NULL,NULL,6462-130,47265-0,87,85
NULL,NULL,6439-128,264271-128,136,134
NULL,NULL,256704-1,264465-129,3,1
NULL,NULL,6435-130,264294-130,77,75
NULL,NULL,45436-0,269517-129,571,569
NULL,NULL,264472-129,264273-130,172,170
NULL,NULL,6462-130,264296-130,13,11
NULL,NULL,5561-130,5423-129,3,1
NULL,NULL,256632-0,277421-130,4,2
NULL,NULL,264273-128,47244-0,56,54
NULL,NULL,5561-128,5397-128,468,466
NULL,NULL,6439-129,264273-129,2,0
NULL,NULL,6462-129,264472-129,2,0
NULL,NULL,6462-128,47265-0,45,43
NULL,NULL,277403-130,256321-1,20,18
NULL,NULL,264661-130,5562-128,2,0
NULL,NULL,277403-129,277347-130,349,347
NULL,NULL,45439-1,47353-1,17,15
NULL,NULL,47265-2,5432-128,51,49
NULL,NULL,264472-129,264273-129,58,56
NULL,NULL,6439-130,264271-128,58,56
NULL,NULL,264661-129,45473-2,268,266
NULL,NULL,45353-0,264521-129,4,2
NULL,NULL,5397-129,47268-2,38,36
NULL,NULL,6435-128,264294-130,52,50
NULL,NULL,264273-129,264271-129,78,76
NULL,NULL,5562-128,5422-128,347,345
NULL,NULL,5419-128,264507-129,16,14
NULL,NULL,47265-1,5432-130,67,65
NULL,NULL,47353-0,269519-129,493,491
NULL,NULL,256632-0,45439-0,415,413
NULL,NULL,5419-128,264598-129,202,200
NULL,NULL,5419-128,264631-129,2,0
NULL,NULL,6439-128,264472-129,15,13
NULL,NULL,45454-2,264278-129,39,37
NULL,NULL,5397-130,47268-0,2,0
NULL,NULL,6462-129,47244-1,35,33
NULL,NULL,5561-130,256705-2,306,304
NULL,NULL,45436-0,5427-129,77,75
NULL,NULL,45353-0,5429-128,56,54
NULL,NULL,264273-129,6439-130,30,28
NULL,NULL,264598-128,264661-130,181,179
NULL,NULL,277403-130,277347-130,2,0
NULL,NULL,5562-129,45439-0,13,11
NULL,NULL,45439-2,47353-1,28,26
NULL,NULL,5397-129,256705-0,138,136
